status	id	name
U	03298	broccoli and chicken babyfood
U	03301	beverage babyfood
U	03301	gerber graduate fruit splashers babyfood
U	03302	gerber graduate yogurt melts babyfood
U	03303	sweet potatoes and chicken babyfood
U	03304	potatoes with cheese and ham babyfood
U	03681	barley babyfood
U	03693	oatmeal babyfood
U	03704	mixed babyfood
U	03704	with honey babyfood
U	03711	high protein babyfood
U	03711	with apple and orange babyfood
U	03712	prepared with whole milk babyfood
U	03712	rice babyfood
U	03712	with bananas babyfood
U	03815	enfamil lipil infant formula
U	03819	not reconstituted child formula
U	03819	powder child formula
U	03820	mead johnson child formula
U	03820	portagen child formula
U	03820	prepared from powder child formula
U	03820	with iron child formula
U	03822	pregestimil infant formula
U	03827	lactofree lipil infant formula
U	03837	pm 60/40 infant formula
U	03837	powder not reconstituted infant formula
U	03838	nutramigen lipil infant formula
U	03839	natural care infant formula
U	03840	advance 24 infant formula
U	03840	special care infant formula
U	03844	liquid concentrate not reconstituted infant formula
U	03858	low iron infant formula
U	03861	prosobee lipil infant formula
U	03864	next step infant formula
U	03864	prosobee infant formula
U	03864	ready to feed infant formula
U	03869	lactofree infant formula
U	03870	abbott nutrition child formula
U	03870	child formula
U	03870	pediasure child formula
U	03870	ready-to-feed child formula
U	03870	with iron and fiber child formula
U	03913	good start 2 essentials infant formula
U	03928	good start essentials soy infant formula
U	03930	next step prosobee infant formula
U	03934	corn and sweet potatoes babyfood
U	03935	alimentum infant formula
U	03941	pbm products infant formula
U	03941	store brand infant formula
U	03943	ar lipil infant formula
U	03944	similac neosure infant formula
U	03945	neosure infant formula
U	03946	sensitive (lactose free) ready-to-feed infant formula
U	03948	(lactose free) infant formula
U	03948	sensitive infant formula
U	03951	advance infant formula
U	03954	advance with iron infant formula
U	03954	isomil infant formula
U	03955	enfacare lipil infant formula
U	03956	multigrain cereal and added dha fortified babyfood
U	03957	alimentum advance infant formula
U	03959	mashed cheddar potatoes and broccoli babyfood
U	03959	toddlers babyfood
U	03961	dha and ara infant formula
U	03961	good start supreme infant formula
U	03961	prepared from liquid concentrate infant formula
U	03963	enfamil gentlease lipil infant formula
U	03963	prepared from powder infant formula
U	03964	fortified cereal bar babyfood
U	03964	fruit filling babyfood
U	03965	multigrain cereal and added iron fortified babyfood
U	03965	whole milk babyfood
U	03965	with fruit babyfood
U	03965	yogurt babyfood
U	03966	good start soy infant formula
U	03966	nestle infant formula
U	03966	with dha and ara infant formula
U	03967	enfagrow toddler formula
U	03967	powder toddler formula
U	03967	premium (formerly enfamil toddler formula
U	03968	enfagrow premium (formerly enfamil toddler formula
U	03968	lipil toddler formula
U	03968	mead johnson toddler formula
U	03968	next step) toddler formula
U	03968	ready-to-feed toddler formula
U	03968	toddler formula
U	03982	toddler ready-to-feed infant formula
U	03983	nutramigen aa infant formula
U	03984	20 calories ready-to-feed infant formula
U	03985	24 calo ready-to-feed infant formula
U	03992	diarrhea infant formula
U	03992	expert care infant formula
U	03992	ready- to- feed with ara and dha infant formula
U	03994	banana and strawberry babyfood
U	03995	banana with mixed berries babyfood
U	03996	dry fortified babyfood
U	03996	multigrain whole grain cereal babyfood
U	03997	baby mum mum rice biscuits babyfood
U	03998	baked whole grain corn snack babyfood
U	03998	graduates babyfood
U	03998	lil crunchies babyfood
U	03998	snack babyfood
U	03999	for spit up infant formula
U	04001	beef tallow fat
U	04002	lard
U	04011	kraft mayo light mayonnaise salad dressing
U	04013	kraft mayo fat free mayonnaise dressing salad dressing
U	04014	kraft miracle whip free nonfat dressing salad dressing
U	04016	sesame seed dressing salad dressing
U	04017	thousand island salad dressing
U	04018	mayonnaise type salad dressing
